business,latitude,longitude,region
102 WEST LAUNDROMAT CORP.,40.776919,-73.97974443,Upper Manhattan
"BRUSCO, MICHAEL",40.7834541,-73.97908164,Upper Manhattan
ARIRANG CLEANERS INC,40.76312633,-73.96645709,Upper Manhattan
NICK LAUNDROMAT & CLEANER INC.,40.76137162,-73.96376869,Upper Manhattan
"X KLEEN GROUP, INC.",40.79310603,-73.97289934,Upper Manhattan
1386 INC.,40.76864889,-73.95846139,Upper Manhattan
"HARIC LAUNDRY, INC.",40.76398086,-73.96067357,Upper Manhattan
85TH LAUNDRY INC,40.78786185,-73.97752743,Upper Manhattan
SO CLEAN LAUNDROMAT INC.,40.77229799,-73.9547296,Upper Manhattan
LINCHEN LAUNDROMAT INC.,40.77496525,-73.98285729,Upper Manhattan
"RABCO OF NEW YORK, LLC",40.78351155,-73.97804888,Upper Manhattan
FLUFF-N-FOLD LAUNDRY SERVICES LLC,40.76933322,-73.95359801,Upper Manhattan
"DAVID, L LEE",40.76632819,-73.962405,Upper Manhattan
DIY LAUNDROMAT INC,40.77971385,-73.94728999,Upper Manhattan
POLY ORGANIC CLEANERS INC.,40.77884512,-73.97616201,Upper Manhattan
123 WEST 135TH STREET LAUNDRY CORP,40.81454459,-73.9418687,Upper Manhattan
DD LAUNDROMAT CORP.,40.76915617,-73.95711086,Upper Manhattan
"NUNEZ, ELENA",40.81856168,-73.94505536,Upper Manhattan
"LA MODE 1ST CLEANER, INC.",40.76766329,-73.95780135,Upper Manhattan
"LIU, SHU KWONG T",40.78933499,-73.97382536,Upper Manhattan
LALO C AND K LAUNDROMAT CORP.,40.80029966,-73.96208242,Upper Manhattan
2037 SEVENTH AVENUE LAUNDROMAT LLC,40.8068933,-73.94983315,Upper Manhattan
"FELDER & SONS, INC.",40.82589289,-73.93969443,Upper Manhattan
526 COLUMBUS MERCHANTS INC.,40.78607119,-73.97249053,Upper Manhattan
WATER FALL LAUNDROMAT INC,40.86562457,-73.92043875,Upper Manhattan
"K.B LAUNDRY SERVICE, INC.",40.78506716,-73.97488147,Upper Manhattan
"CHEN, FATT H",40.77792488,-73.94862374,Upper Manhattan
90 STREET LAUNDRY & CLEANERS INC,40.77971385,-73.94728999,Upper Manhattan
PYRAMID PARTNERS CORP.,40.77748944,-73.95085185,Upper Manhattan
CLEAN RITE WHOLESALE LAUNDRY INC.,40.78073551,-73.94866129,Upper Manhattan
CHINESE LAUNDRY INC,40.78844864,-73.97471408,Upper Manhattan
"CHONG, LIAN WAH",40.76712006,-73.95845512,Upper Manhattan
