Industry,Business Name,Longitude,Latitude,Location
Garage,SP PLUS CORPORATION,-74.01544187,40.71142453,"(40.71142452729361, -74.01544186734169)"
Garage,SAWYER PARKING LLC,-77.51958437,40.11238534,"(40.11238533659802, -77.51958437167269)"
Garage,NEW YORK PARKING 51ST STREET CORP.,-73.96917141,40.75597977,"(40.75597977288785, -73.96917140638074)"
Garage,QUIK PARK BLOOM LLC,-73.9669411,40.76253086,"(40.76253085881044, -73.9669411040366)"
Garage,SP PLUS CORPORATION,-73.97649646,40.74175273,"(40.74175272557469, -73.97649645790503)"
Garage,"SAVANNAH GARAGE, LLC",-73.97553671,40.79041953,"(40.79041953302292, -73.97553671469177)"
Garage,MP 30 YARDS LLC,-74.0022522,40.75258588,"(40.752585880533076, -74.00225220254441)"
Garage,IMPARK WATER LLC,-74.00978123,40.70359708,"(40.7035970814381, -74.00978122562515)"
Garage,"LAZ PARKING NEW YORK / NEW JERSEY, LLC",-73.9475644,40.83473746,"(40.83473745887964, -73.94756440326175)"
Garage,"IPARK U, Inc",-73.95228909,40.77216525,"(40.77216525347162, -73.95228908882459)"
Garage,SP PLUS CORPORATION,-73.97363493,40.75041453,"(40.750414534963774, -73.97363493016515)"
Garage,AP 127TH MANAGEMENT LLC.,-73.95063154,40.81165574,"(40.811655742292835, -73.95063154078338)"
Garage,IMPARK 85 LLC,-73.94611102,40.77308476,"(40.77308476199404, -73.94611101756917)"
Garage,"LAZ PARKING NEW YORK, NEW JERSEY LLC",-73.98891534,40.77726883,"(40.777268831401315, -73.98891534495534)"
Garage,"30 OPERATING, LLC",-73.99612737,40.75002499,"(40.750024988345196, -73.99612737110338)"
Garage,SP PLUS CORPORATION,-73.9943595,40.74269369,"(40.742693690462986, -73.99435950334471)"
Garage,79TH STREET REALTY LLC,-73.95385914,40.77282463,"(40.77282463024915, -73.95385913884142)"
Garage,400 EAST 56 PARKING LLC,-73.96307776,40.75748759,"(40.75748759081678, -73.96307776310553)"
Garage,SP PLUS CORPORATION,-73.98436487,40.76645678,"(40.76645677725682, -73.98436487052675)"
Garage,GEMA PARKING CORP.,-73.98403018,40.73197721,"(40.731977207073484, -73.98403018336167)"
Garage,SP PLUS CORPORATION,-73.96213711,40.76130522,"(40.761305224664106, -73.9621371061817)"
Garage,CHAMPION PARKING 245 LLC,-73.95687871,40.77085233,"(40.77085233235716, -73.95687870727632)"
Garage,345 EAST GARAGE CORP.,-73.95312941,40.77342818,"(40.77342817824794, -73.95312941398454)"
Garage,150 EAST 18TH STREET PARKING CORP,-73.98558816,40.73549893,"(40.73549893199463, -73.98558815662872)"
Garage,SP PLUS CORPORATION,-73.97866897,40.76407343,"(40.7640734277385, -73.97866897380925)"
Garage,"CONNAUGHT CAR PARK, LLC",-73.96635177,40.7572251,"(40.75722509813542, -73.96635177101938)"
Garage,"MUTUAL PARKING, INC.",-73.94629946,40.77221477,"(40.772214767689476, -73.94629946047505)"
Garage,ENTERPRISE 24TH PARKING LLC,-73.98210868,40.73925327,"(40.739253265596076, -73.98210867654875)"
Garage,WEST 43 PARKING LLC,-73.99937912,40.76128125,"(40.761281252805055, -73.99937911953567)"
Garage,"60 SUTTON PLACE PARKING ASSOCIATES, LLC",-73.96223076,40.75528603,"(40.75528603041633, -73.96223076369402)"
Garage,SP PLUS CORPORATION,-73.98653581,40.76001789,"(40.7600178856856, -73.98653581270592)"
Garage,SP PLUS CORPORATION,-73.9823176,40.76787002,"(40.767870022779476, -73.98231759655258)"
Garage,305 EAST 80TH PARKING LLC,-73.95418696,40.77387325,"(40.77387325121576, -73.95418696351773)"
Garage,LEXINGTON 58 PARKING LLC,-73.96818343,40.76139763,"(40.76139762970629, -73.96818342968352)"
Garage,SP PLUS CORPORATION,-73.98153267,40.76037401,"(40.76037400898184, -73.98153266736522)"
Garage,"LAZ PARKING NEW YORK / NEW JERSEY, LLC",-73.97905155,40.72989588,"(40.729895884616575, -73.97905154546305)"
Garage,"50 EAST 79TH STREET CAR PARK, LLC",-73.96161599,40.77609646,"(40.77609645836829, -73.96161599460098)"
Garage,MP 17 LLC,-74.00595455,40.74369002,"(40.74369001903055, -74.005954548088)"
Garage,35 PARK AVENUE GARAGE LLC,-73.98050024,40.74821461,"(40.74821461387969, -73.98050023719544)"
Garage,RAPID PARK HOLDING CORP,-73.95485707,40.76534561,"(40.765345608022415, -73.95485706771842)"
Garage,EAST 71ST STREET GARAGE CORP.,-73.96316472,40.76994326,"(40.7699432598359, -73.96316472378017)"
Garage,CHAMPION PARKING 33 LLC,-73.98156891,40.74679301,"(40.746793010007295, -73.98156891291487)"
Garage,LHL PARKING CO LLC,-73.98379875,40.76376685,"(40.763766852193235, -73.98379874691466)"
Garage,"SAM PARKING, L.L.C.",-74.00325414,40.72300292,"(40.72300291526141, -74.0032541425205)"
Garage,MP BETH PARKING LLC,-73.9500049,40.77541131,"(40.775411310681285, -73.95000490395303)"
Garage,"LAURENCE TOWERS GARAGE CO., LLC",-73.97827452,40.74490679,"(40.744906792889005, -73.97827452453438)"
Garage,SP PLUS CORPORATION,-73.98896349,40.74818829,"(40.74818828826226, -73.98896349236394)"
Garage,CLICK PARKING CORP.,-73.97094627,40.78310101,"(40.783101009656214, -73.97094627103644)"
Garage,SLATE PARKING CORP.,-73.98054349,40.73606361,"(40.736063609346914, -73.98054348565344)"
Garage,38TH & THIRD PARKING LLC,-73.97600337,40.74813417,"(40.74813416708923, -73.97600337463021)"
Garage,ALLIANCE AMHERST PARKING LLC,-73.95469575,40.76898507,"(40.76898507148451, -73.95469575246041)"
Garage,UNI. FACILITY CORP.,-73.95810901,40.81805665,"(40.818056645622136, -73.95810900523493)"
Garage,QUIK PARK SWIFT LLC,-73.96935358,40.76012713,"(40.76012713066171, -73.9693535819049)"
Garage,"MUTUAL PARKING, INC.",-73.94657728,40.77244271,"(40.77244271018476, -73.94657727560529)"
Garage,245 EAST 40TH ST. PARKING LLC,-77.51958437,40.11238534,"(40.11238533659802, -77.51958437167269)"
Garage,SP PLUS CORPORATION,-73.9625461,40.7786329,"(40.77863290127972, -73.96254609596876)"
Garage,SP PLUS CORPORATION,-73.98036424,40.75658332,"(40.75658332376546, -73.98036423524069)"
Garage,"ALMAR GARAGE, INC.",-73.96511456,40.76935375,"(40.76935374759555, -73.96511456215681)"
Garage,43RD & 11TH GARAGE LLC,-73.99879434,40.76103422,"(40.76103422127824, -73.99879434124438)"
Garage,169 LUDLOW PARKING LLC,-73.98830405,40.72185231,"(40.7218523134901, -73.98830404884531)"
Garage,PRION CORP,-73.95566498,40.77186468,"(40.77186468057639, -73.95566497609501)"
Garage,SP PLUS CORPORATION,-73.94351331,40.83908317,"(40.83908316793566, -73.94351330662326)"
Garage,OXFORD PARKING CORP.,-73.96807874,40.753877,"(40.75387699991748, -73.96807874069368)"
Garage,53RD STERLING PARKING LLC,-73.96673471,40.75657745,"(40.75657744949869, -73.9667347068204)"
Garage,SP PLUS CORPORATION,-73.94952055,40.81422432,"(40.814224320719624, -73.94952055422276)"
Garage,WOC CIELO GARAGE COMPANY LLC,-73.94989003,40.77453294,"(40.77453294461096, -73.94989002774679)"
Garage,SP PLUS CORPORATION,-73.99092744,40.77012445,"(40.77012445404388, -73.99092744306279)"
Garage,SP PLUS CORPORATION,-73.97225418,40.78131176,"(40.781311764946494, -73.97225418170498)"
Garage,WEST 64TH STREET LLC,-73.98217555,40.77254429,"(40.77254429244348, -73.98217555057616)"
Garage,TOWNHOUSE PARKING LLC,-73.96077068,40.77071923,"(40.77071923095086, -73.96077067757834)"
Garage,225 W. 49 DEVELOPMENT LLC.,-73.98509531,40.76104973,"(40.761049731886665, -73.98509531082307)"
Garage,CAPITAL PARKING LLC,-73.96557923,40.76439414,"(40.76439414013388, -73.96557923212998)"
Garage,"EMBASSY GARAGE PARTNERS, LLC",-73.95851786,40.77651258,"(40.77651258478388, -73.95851786321268)"
Garage,DISTINCTIVE PARKING LLC,-73.97014567,40.76470283,"(40.764702825040494, -73.97014566672321)"
Garage,125 PERRY LLC,-74.00728164,40.73497261,"(40.734972610927024, -74.00728163998545)"
Garage,SP PLUS CORPORATION,-73.97698306,40.75387363,"(40.75387363379414, -73.97698305538817)"
Garage,WILLBE PARKING LLC,-73.98341664,40.73259195,"(40.73259194537532, -73.98341663930714)"
Garage,WEST 122ND STREET GARAGE LLC,-73.95930553,40.81105529,"(40.811055291331556, -73.95930552712605)"
Garage,SP PLUS CORPORATION,-73.96316023,40.7650137,"(40.76501370372331, -73.96316023019945)"
Garage,EAST 44TH STREET GARAGE LLC,-73.97298109,40.75183616,"(40.751836162585, -73.97298109172517)"
